column,type,description,unit,range,missing_value_policy
Landmark_20_X,float,Face/Iris landmark 20 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_20_Y,float,Face/Iris landmark 20 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_20_Z,float,"Face/Iris landmark 20 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_21_X,float,Face/Iris landmark 21 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_21_Y,float,Face/Iris landmark 21 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_21_Z,float,"Face/Iris landmark 21 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_22_X,float,Face/Iris landmark 22 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_22_Y,float,Face/Iris landmark 22 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_22_Z,float,"Face/Iris landmark 22 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_23_X,float,Face/Iris landmark 23 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_23_Y,float,Face/Iris landmark 23 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_23_Z,float,"Face/Iris landmark 23 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_24_X,float,Face/Iris landmark 24 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_24_Y,float,Face/Iris landmark 24 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_24_Z,float,"Face/Iris landmark 24 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_25_X,float,Face/Iris landmark 25 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_25_Y,float,Face/Iris landmark 25 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_25_Z,float,"Face/Iris landmark 25 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_26_X,float,Face/Iris landmark 26 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_26_Y,float,Face/Iris landmark 26 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_26_Z,float,"Face/Iris landmark 26 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_27_X,float,Face/Iris landmark 27 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_27_Y,float,Face/Iris landmark 27 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_27_Z,float,"Face/Iris landmark 27 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_28_X,float,Face/Iris landmark 28 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_28_Y,float,Face/Iris landmark 28 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_28_Z,float,"Face/Iris landmark 28 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_29_X,float,Face/Iris landmark 29 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_29_Y,float,Face/Iris landmark 29 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_29_Z,float,"Face/Iris landmark 29 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_30_X,float,Face/Iris landmark 30 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_30_Y,float,Face/Iris landmark 30 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_30_Z,float,"Face/Iris landmark 30 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_31_X,float,Face/Iris landmark 31 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_31_Y,float,Face/Iris landmark 31 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_31_Z,float,"Face/Iris landmark 31 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_32_X,float,Face/Iris landmark 32 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_32_Y,float,Face/Iris landmark 32 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_32_Z,float,"Face/Iris landmark 32 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_33_X,float,Face/Iris landmark 33 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_33_Y,float,Face/Iris landmark 33 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_33_Z,float,"Face/Iris landmark 33 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_34_X,float,Face/Iris landmark 34 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_34_Y,float,Face/Iris landmark 34 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_34_Z,float,"Face/Iris landmark 34 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_35_X,float,Face/Iris landmark 35 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_35_Y,float,Face/Iris landmark 35 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_35_Z,float,"Face/Iris landmark 35 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_36_X,float,Face/Iris landmark 36 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_36_Y,float,Face/Iris landmark 36 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_36_Z,float,"Face/Iris landmark 36 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_37_X,float,Face/Iris landmark 37 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_37_Y,float,Face/Iris landmark 37 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_37_Z,float,"Face/Iris landmark 37 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_38_X,float,Face/Iris landmark 38 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_38_Y,float,Face/Iris landmark 38 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_38_Z,float,"Face/Iris landmark 38 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_39_X,float,Face/Iris landmark 39 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_39_Y,float,Face/Iris landmark 39 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_39_Z,float,"Face/Iris landmark 39 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_40_X,float,Face/Iris landmark 40 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_40_Y,float,Face/Iris landmark 40 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_40_Z,float,"Face/Iris landmark 40 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_41_X,float,Face/Iris landmark 41 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_41_Y,float,Face/Iris landmark 41 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_41_Z,float,"Face/Iris landmark 41 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_42_X,float,Face/Iris landmark 42 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_42_Y,float,Face/Iris landmark 42 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_42_Z,float,"Face/Iris landmark 42 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_43_X,float,Face/Iris landmark 43 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_43_Y,float,Face/Iris landmark 43 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_43_Z,float,"Face/Iris landmark 43 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_44_X,float,Face/Iris landmark 44 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_44_Y,float,Face/Iris landmark 44 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_44_Z,float,"Face/Iris landmark 44 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_45_X,float,Face/Iris landmark 45 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_45_Y,float,Face/Iris landmark 45 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
